"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Observation Status","Reporting Type","Units","2017","2018","2020","2022","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","208","Denmark","O","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","262","Djibouti","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","212","Dominica","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","214","Dominican Republic","A","G","PERCENT","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","218","Ecuador","A","G","PERCENT","100","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","218","Ecuador","O","G","PERCENT","","","","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","818","Egypt","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","222","El Salvador","A","G","PERCENT","0","","0.07","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","226","Equatorial Guinea","A","G","PERCENT","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","232","Eritrea","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","233","Estonia","A","G","PERCENT","100","","100","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","748","Eswatini","A","G","PERCENT","","","91.91","","91.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","748","Eswatini","O","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","231","Ethiopia","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","238","Falkland Islands (Malvinas)","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","234","Faroe Islands","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","242","Fiji","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","246","Finland","A","G","PERCENT","100","","100","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
